Data;EMPRESTIMO;SALARY;VACATION;ADVANCE_SALARY;RESCISSION;DEPOSIT;BASIC_FOOD_BASKET;BONUS;COMMISSION;DAILY;FOOD_VOUCHER;FUEL_ASSISTANCE;MEAL_VOURCHER;PIS_PAYMENT;PROFIT_SHARING_PAYMENT;PRO_LABORE_PAYMENT;REWARD;SALARY_DIFFERENCE;THIRTEENTH_SALARY;THIRTEENTH_SALARY_FIRST_INSTALLMENT;THIRTEENTH_SALARY_SECOND_INSTALLMENT;TIP;TRANSPORTATION_VOUCHER;TOTAL_DIA
06/03/2024;1826082,33;4373249,27;748136,52;812,23;262685,09;278351,06;1390;0;34862,69;12974,3;80951,66;8431;3506,5;0;114532,23;162521,3;15203,51;0;0;0;0;0;30798,12;6128405,48
07/03/2024;2408165,96;291379,57;7772,52;0;1836,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300988,73
08/03/2024;1280366,12;18384843,67;250768,22;7318,37;169815,06;282871,32;300;0;622;10686,73;58488,58;2413,32;4386,8;0;1605,19;2700;774;0;0;5101,6;0;0;14144,49;19196839,35
09/03/2024;669160,1;17984566,16;241557,48;1000;307784,49;265104,16;3230;0;7576;45685,06;43755,39;3856,12;39833,75;0;0;1306,1;76471,57;0;0;0;0;0;24399,39;19046125,67
10/03/2024;315417,52;14001818,25;813328,89;17918,3;257035,88;233373,09;19190;0;9431,85;21742,55;72659;3057,18;246,96;0;7300,97;539647,84;51266,18;0;0;0;0;0;22880,17;16070897,11
11/03/2024;585110,76;5018360,87;178935,5;2043,22;120068,27;319428,26;5599;0;32109,16;17872,43;21059,93;0;123,48;0;68388,48;153116,44;22857,16;0;0;0;0;0;16695,35;5976657,55
12/03/2024;408474,39;3386611,64;188258,59;7743,18;189200,49;464628,07;41480;0;213858,8;6060,82;28488,69;7526,95;385;0;403,87;1700;15081,28;0;4482,76;1588,5;1200;0;54858,72;4613557,36
13/03/2024;324316,17;29570,22;6984,44;0;812,97;0;0;0;0;286;0;0;0;0;0;0;311;0;0;0;0;0;0;37964,63
14/03/2024;288406,81;69929,32;0;0;66854,42;1995,79;0;0;0;195;0;600;0;0;0;0;0;0;0;0;0;0;0;139574,53
15/03/2024;359551,79;610641,47;45676,19;1082;318709,64;162121,31;340;0;10697;22122,9;25876,93;2350,58;0;0;0;59400;42849,07;0;0;0;0;0;66249,31;1368116,4
16/03/2024;226680,35;373739,31;118571,48;79048,7;179173,67;51788,89;980;0;81920,16;26768,32;1744,52;850;0;0;0;4521,93;12524,4;0;0;0;0;0;44625,86;976257,24
17/03/2024;123968,72;1559526,09;74495,65;469531,64;253948,81;221664,26;5213;0;7585,63;17254,58;3519,66;200;0;0;211,8;70850,78;4056,3;0;0;0;0;0;18885,92;2706944,12
18/03/2024;186549,14;313333,06;243899,63;2114608,08;216190,01;141765,59;0;0;32522,56;23855,85;3580;170;0;0;9656,72;0;3125,56;0;0;0;0;0;58909,1;3161616,16
19/03/2024;182044,71;1353588,25;196556,89;710203,19;393556,31;258941,13;2312,5;0;63167,29;45955,79;7118,1;10780,22;452;0;1538,3;24606,1;8723,16;0;0;0;0;0;27879,76;3105378,99
20/03/2024;252390,43;0;0;2955,65;0;7817,47;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;10923,12
21/03/2024;188493,55;0;0;0;0;7180,38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7180,38
22/03/2024;168479,05;143038,51;215750,32;1522634,52;449044,64;387203,63;0;0;38086,64;24371,62;21270,83;1480;90;0;0;56860,18;50815,51;0;753,58;1500;0;50;12194,01;2925143,99
23/03/2024;142816,47;48508,33;11473,58;262272,59;57145,69;8585,48;0;0;0;230;0;430;0;0;0;0;0;0;0;0;0;0;2418,68;391064,35
24/03/2024;103458,18;1017608,9;81745,25;1877913,25;184777,45;410119,24;0;0;106001,73;28352,45;8212,27;200;0;0;0;0;52622,53;0;0;0;0;0;13003,71;3780556,78
25/03/2024;186084,12;1062561,82;119955,02;87772,08;331188,86;46471,25;0;0;4000;21819,13;1952,87;108;0;0;0;0;2195;0;0;0;0;0;13443,2;1691467,23
26/03/2024;164598,11;358179,13;482737,74;4391,15;307463,88;33376,28;0;0;195;23492,87;9464,67;6650;0;0;0;0;9150,19;0;0;0;0;0;9268,29;1244369,2
